ISRG|SP500
ITW|SP500
IVZ|SP500
JBL|SP500
JCI|SP500
JEC|SP500
JNJ|SP500
JNPR|SP500
JOY|SP500
JPM|SP500
JWN|SP500
K|SP500
KEY|SP500
KIM|SP500
KLAC|SP500
KMB|SP500
KMI|SP500
KMX|SP500
KO|SP500
KORS|SP500
KR|SP500
KRFT|SP500
KSS|SP500
KSU|SP500
L|SP500
LB|SP500
LEG|SP500
LEN|SP500
LH|SP500
LIFE|SP500
LLL|SP500
LLTC|SP500
LLY|SP500
LM|SP500
LMT|SP500
LNC|SP500
LO|SP500
LOW|SP500
LRCX|SP500
LSI|SP500
LUK|SP500
LUV|SP500
LYB|SP500
M|SP500
MA|SP500
MAC|SP500
MAR|SP500
MAS|SP500
MAT|SP500
MCD|SP500
MCHP|SP500
MCK|SP500
MCO|SP500
MDLZ|SP500
MDT|SP500
MET|SP500
MHFI|SP500
MHK|SP500
MJN|SP500
MKC|SP500
MMC|SP500
MMM|SP500
MNST|SP500
MO|SP500
MON|SP500
MOS|SP500
MPC|SP500
MRK|SP500
MRO|SP500
MS|SP500
MSFT|SP500
MSI|SP500
MTB|SP500
MU|SP500
MUR|SP500
MWV|SP500
MYL|SP500
NBL|SP500
NBR|SP500
NDAQ|SP500
NE|SP500
NEE|SP500
NEM|SP500
NFLX|SP500
NFX|SP500
NI|SP500
NKE|SP500
NLSN|SP500
NOC|SP500
NOV|SP500
NRG|SP500
NSC|SP500
NTAP|SP500
NTRS|SP500
NU|SP500
NUE|SP500
NVDA|SP500
NWL|SP500
NWSA|SP500
OI|SP500
OKE|SP500
OMC|SP500
ORCL|SP500
ORLY|SP500
OXY|SP500
PAYX|SP500
PBCT|SP500
PBI|SP500
PCAR|SP500
PCG|SP500
PCL|SP500
PCLN|SP500
PCP|SP500
PDCO|SP500
PEG|SP500
PEP|SP500
PETM|SP500
PFE|SP500
PFG|SP500
PG|SP500
PGR|SP500
PH|SP500
PHM|SP500
PKI|SP500
PLD|SP500
PLL|SP500
PM|SP500
PNC|SP500
PNR|SP500
PNW|SP500
POM|SP500
PPG|SP500
PPL|SP500
PRGO|SP500
PRU|SP500
PSA|SP500
PSX|SP500
PVH|SP500
PWR|SP500
PX|SP500
PXD|SP500
QCOM|SP500
QEP|SP500
R|SP500
RAI|SP500
RDC|SP500
REGN|SP500
RF|SP500
RHI|SP500
RHT|SP500
RIG|SP500
RL|SP500
ROK|SP500
ROP|SP500
ROST|SP500
RRC|SP500
RSG|SP500
RTN|SP500
SBUX|SP500
SCG|SP500
SCHW|SP500
SE|SP500
SEE|SP500
SHW|SP500
SIAL|SP500
SJM|SP500
SLB|SP500
SLM|SP500
SNA|SP500
SNDK|SP500
SNI|SP500
SO|SP500
SPG|SP500
SPLS|SP500
SRCL|SP500
SRE|SP500
STI|SP500
STJ|SP500
STT|SP500
STX|SP500
STZ|SP500
SWK|SP500
SWN|SP500
SWY|SP500
SYK|SP500
SYMC|SP500
SYY|SP500
T|SP500
TAP|SP500
TDC|SP500
TE|SP500
TEG|SP500
TEL|SP500
TGT|SP500
THC|SP500
TIF|SP500
TJX|SP500
TMK|SP500
TMO|SP500
TRIP|SP500
TROW|SP500
TRV|SP500
TSN|SP500
TSO|SP500
TSS|SP500
TWC|SP500
TWX|SP500
TXN|SP500
TXT|SP500
TYC|SP500
UNH|SP500
UNM|SP500
UNP|SP500
UPS|SP500
URBN|SP500
USB|SP500
UTX|SP500
V|SP500
VAR|SP500
VFC|SP500
VIAB|SP500
VLO|SP500
VMC|SP500
VNO|SP500
VRSN|SP500
VRTX|SP500
VTR|SP500
VZ|SP500
WAG|SP500
WAT|SP500
WDC|SP500
WEC|SP500
WFC|SP500
WFM|SP500
WHR|SP500
WIN|SP500
WLP|SP500
WM|SP500
WMB|SP500
WMT|SP500
WPX|SP500
WU|SP500
WY|SP500
WYN|SP500
WYNN|SP500
X|SP500
XEL|SP500
XL|SP500
XLNX|SP500
XOM|SP500
XRAY|SP500
XRX|SP500
XYL|SP500
YHOO|SP500
YUM|SP500
ZION|SP500
ZMH|SP500
ZTS|SP500
